name,firm_name,website,geographies
1V,1V,https://one-ventures.com.au/,Sydney
77 Partners,77 Partners,www.77partners.vc,Brisbane
808 Ventures,808 Ventures,https://www.808ventures.vc,Perth
1835i,1835i,www.1835i.com,Melbourne
Acorn Capital,Acorn Capital,https://acorncapital.com.au,Melbourne
Adams Street,Adams Street,https://www.adamsstreetpartners.com/,Chicago
AfterWork Ventures,AfterWork Ventures,afterwork.vc,Sydney
Agnition Ventures,Agnition Ventures,https://agnition.ventures/,Christchurch
AgriZeroNZ,AgriZeroNZ,AgriZero.nz,Auckland
Airtree,Airtree,https://airtree.vc/,Sydney
Alabaster,Alabaster,https://www.alabaster.com/,San Francisco
Alberts Impact Ventures,Alberts Impact Ventures,alberts.co,Sydney
Alchemy Ventures,Alchemy Ventures,http://www.alchemventures.com.au,Sydney
ALIAVIA Ventures,ALIAVIA Ventures,https://www.aliavia.vc/,California
Alium Capital,Alium Capital,https://aliumcap.com/,Sydney
Altered Capital,Altered Capital,alteredcapital.com,Auckland
Antler Fund LP,Antler Fund LP,antler.co,Sydney
ANU Connect Ventures,ANU Connect Ventures,anuconnectventures.com.au,Canberra
ANZi Ventures,ANZi Ventures,anz.com,Sydney
Apex Capital Partners,Apex Capital Partners,apexcapital.com.au,Sydney
AraCapital,AraCapital,aracapital.com.au,Sydney
Arbor Capital,Arbor Capital,arborcapital.co,Brisbane
Arcanys Ventures,Arcanys Ventures,ventures.arcanys.com,
Archangel Ventures,Archangel Ventures,archangel.vc,Melbourne
Arowana Partners,Arowana Partners,arowanaco.com/venture-capital,London
Artesian Capital Management,Artesian Capital Management,artesianinvest.com,Sydney
AS1 Growth Partners,AS1 Growth Partners,as1growthpartners.com,Sydney
Athletic Ventures,Athletic Ventures,athletic.vc,Sydney
Aura Ventures,Aura Ventures,aura.vc,Sydney
Australian Unity Future of Healthcare Fund,Australian Unity Future of Healthcare Fund,australianunity.com.au,Sydney
Backit Ventures,Backit Ventures,backit.ventures,Brisbane
Bailador Technology Investments,Bailador Technology Investments,www.bailador.com.au,Sydney
Bain Capital,Bain Capital,https://www.baincapitalprivateequity.com/,Boston
Beachhead Venture Capital,Beachhead Venture Capital,beachhead.vc,Sydney
Black Sheep Capital,Black Sheep Capital,https://blacksheepcapital.com.au/,Brisbane
Blackbird Ventures,Blackbird Ventures,https://blackbird.vc/,Sydney
Bombora Investment Management,Bombora Investment Management,https://www.bomboragroup.com.au/,Sydney
Boson Ventures,Boson Ventures,https://www.boson.vc/,Sydney
Braddon Capital,Braddon Capital,www.braddoncapital.com,
Brandon Capital Partners,Brandon Capital Partners,https://www.brandoncapital.com.au/,Melbourne
Breakthrough Victoria,Breakthrough Victoria,https://breakthroughvictoria.com/,Melbourne
Breyer Capital,Breyer Capital,https://breyercapital.com/,Austin
BridgeLane Group,BridgeLane Group,https://bridgelane.com.au/,Sydney
Cardinia Ventures,Cardinia Ventures,https://www.cardiniaventures.com,Melbourne
Carthona Capital,Carthona Capital,https://www.carthonacapital.com/,Sydney
Clean Energy Finance Corporation (CEFC),Clean Energy Finance Corporation (CEFC),https://www.cefc.com.au/where-we-invest/sustainable-economy/innovation-fund/,Sydney
